Sample_ID	group label	Master ID	Skeletal code	Skeletal element	"Published(0=no,1=yes.including.data.release.of.bioRxiv.version)"	"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]"	Publication	Representative contact	"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)"	"Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]"	"Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]"	"Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Restrictions (0=none; 1=Basic signed letter; 2=Restrictive signed letter; 3=Bolnick signed letter; 4=Never release; 5=Disease patient; 6=Basic signed letter but drafts should be circulated to Papua New Guinea Medical Research Advisory Group in advance of publication)	Pulldown Strategy	Data source	No. Libraries	Coverage on autosomal targets (Computed at (re)pulldown pre-padding)	1240k coverage (taken from original pulldown where possible)	SNPs hit on autosomal targets (Computed at pulldown for non-padded samples)	SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Sum total of ROH segments >4cM	Sum total of ROH segments >20cM	Y haplogroup automatic caller	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y chromosome reference for manual call	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)"	LibraryID(s)	endogenous by library (computed on shotgun data)	1240k coverage (by library)	Damage rate in first nucleotide on sequences overlapping 1240k targets (by library)	mtDNA coverage (by library)	mtDNA haplogroup if ≥2 coverage (by library)	mtDNA match to consensus if ≥2 coverage (by library)	Individual Notes	batch notes (e.g. if a control well looks contaminated)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"
I0412	AN	I0412	Troc5	tooth	1	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	"Haak, Wolfgang"	Direct: IntCal20	7177	66	"5309-5073 calBCE (6249±28 BP, MAMS-16164)"	..	Spain_EN	Els Trocs	Spain	42.5	0.5	0	1240K pulldown padded to 3.2M snpset	1240K	3	13.785	13.785	..	962669	..	M	n/a (no relatives detected)	19.3749	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-L161	I2a1a2	..	..	..	831.404551	N1a1a1	"[0.982,0.997]"	..	..	..	..	..	..	-0.006	0.005	None	"[0,0.004]"	"ds.plus,ds.half,ds.half"	"S0493.L1,S0664.L1,S0665.L1"	"0.64020,0.56390,0.55240"	"..,..,.."	"0.286,0.105,0.105"	"577.00,822.00,687.00"	"N1a1a,N1a1a,N1a1a"	"..,[0.992,0.998],[0.993,0.998]"	..	..	PASS	Xcontam=0.005
I0633	AN	I0633	"NG11/3, Grave 3; inv. K11"	petrous	1	2018	MathiesonNature2018	"Pinhasi, Ron"	Direct: IntCal20	7424	56	"5610-5376 calBCE (6520±40 BP, Poz-82186)"	..	Serbia_EN	"Vojvodina, Hrtkovci, Gomolova"	Serbia	44.9	19.75	0	Repulldown on 3.2M snpset	1240K	1	0.384356	0.884	823149	524865	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-PF3148	G2a2a1	..	..	..	151.408112	H+16311	"[0.922,0.962]"	..	..	..	..	..	..	0.016	0.011	None	"[0,0.038]"	ds.minus	S0633.E1.L1	0.0718	0.884	0.138	148	HV	"[0.945,0.964]"	..	..	PASS	"Xcontam=0.008, mtcontam=[0.922,0.962]"
I0659_published	AN	I0659	HAL2	tooth	1	2015	"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)"	"Haak, Wolfgang"	Direct: IntCal20	7031	77	"5210-4952 calBCE (6130±40 BP, KIA-40350)"	..	Germany_EN_LBK	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	0	1240K pulldown padded to 3.2M snpset	1240K	2	0.871	0.871	..	637660	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-PF3148	G2a2a1	..	..	..	219.516265	N1a1a1a2	"[0.981,0.995]"	..	..	..	0.000134	0.041238649	"[0,0.007]"	0.006	0.016	None	"[0,0.037]"	"ds.half,ds.half,ds.half"	"S2004.L1,S2004.L2"	"0.1127,0.05780"	"..,0.1260"	"..,0.115"	"61.1,87.2"	"N1a1,N1a1a+152"	"[0.983,0.991],[0.983,0.991]"	..	..	PASS	..
I0676	AN	I0676	"MACE7, KV VIII, SE 513"	petrous	1	2018	MathiesonNature2018	"Pinhasi, Ron"	Direct: IntCal20	7792	64	"5979-5732 calBCE (6960±50 BP, Poz-82188)"	..	Macedonia_N	"Skopje, Sopište, Govrlevo"	North Macedonia	41.9	21.35	0	1240K pulldown padded to 3.2M snpset	1240K	1	4.403	4.403	..	845197	..	M	n/a (no relatives detected)	6.791592	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-F1193	G2a2b2b1	..	..	..	572	J1c1	"[0.977,0.988]"	0.079	0.537	..	..	..	..	0.002	0.004	None	"[0,0.01]"	ds.half	S0676.E1.L1	0.1254	4.403	0.079	572	J1c1	"[0.977,0.988]"	..	..	PASS	Xcontam=0.006
I0704_published	AN	I0704	DZHU 7	tooth	1	2018	MathiesonNature2018	"Pinhasi, Ron; Alpaslan, Songül; Elenski, Nedko"	Direct: IntCal20	7892	53	"6059-5839 calBCE (7070±50 BP, Poz-81119)"	..	Bulgaria_N	"Veliko Tarnovo, Dzhulyunitsa"	Bulgaria	43.16089	25.88341	0	Repulldown on 3.2M snpset	1240K	6	0.066921	0.114687	191594	124495	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	50.547468	T2b	"[0.989,0.998]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.087	0.036	None	"[0.016,0.158]"	"ds.half,ds.half,ds.half,ds.half,ds.half,ds.half"	"S0704.E1.L1,S0704.E1.L2,S0704.E1.L3,S0704.E1.L4,S0704.E1.L5,S0704.E1.L6"	"0.00420,0.00180,0.00200,0.00160,0.00500,0.00650"	"0.046,0.014,0.016,0.016,0.020,0.010"	"0.099,0.097,0.1,0.1,0.097,0.099"	"121.00,40.50,49.40,44.80,37.70,23.30"	"T2b,T2b,T2b,T,T2b,T2b"	"[0.994,0.998],[0.998,1.000],[0.994,0.999],[0.996,1.000],[0.995,1.000],[0.993,1.000]"	..	..	PASS	..
I0706	AN	I0706	DZHU 10	bone (long bone)	1	2018	MathiesonNature2018	"Pinhasi, Ron"	Direct: IntCal20	7899	42	"6025-5847 calBCE (7075±37 BP, OxA-32777)"	..	Bulgaria_N_oEEF	"Veliko Tarnovo, Dzhulyunitsa"	Bulgaria	43.16089	25.88341	0	1240K pulldown padded to 3.2M snpset	1240K	4	0.252	0.252	..	250518	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	C-V86	C1a2	..	..	..	31.086668	K1a4b	"[0.976,0.994]"	..	..	..	0.036144	0.997289901	"[0,0.107]"	0.003	0.015	None	"[0,0.032]"	"ds.half,ds.half,ds.half,ds.half"	"S0706.E1.L1,S0706.E1.L2,S0706.E1.L3,S0706.E1.L4"	"0.00990,0.00270,0.00460,0.00230"	"0.060,0.038,0.046,0.037"	"0.164,0.159,0.161,0.155"	"58.50,24.40,30.40,23.20"	"K1a4b,K1a4b,K1a4b,K1a4b"	"[0.969,0.982],[0.980,0.993],[0.973,0.988],[0.992,1.000]"	..	..	PASS	..
I0707	AN	I0707	BAR2 / L11-213	petrous	1	2015	MathiesonNature2015	"Pinhasi, Ron"	"Direct: IntCal20; redated after receiving a date of 9656-9293 calBCE (9935±35 BP, PSUAMS-3180) that does not fit the archaeological context; the new date is consistent with other samples at the same site and suggests that the older date may be a product of a sample mixup"	8096	50	"6225-6065 calBCE (7272±34 BP, Tubitak-0455)"	..	Turkey_N	"Northwest Anatolia, Marmara, Barcın"	Turkey	40.3037	29.57	0	1240K pulldown padded to 3.2M snpset	1240K	1	9.431	9.431	..	989345	..	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	1080	K1a4	"[0.992,0.998]"	0.17	0.004	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.001	0.003	None	"[0,0.005]"	ds.half	S0707.E1.L1	0.3244	9.431	0.17	1080	K1a4	"[0.992,0.998]"	..	..	PASS	..
I0708	AN	I0708	BAR6 / L11-439	petrous	1	2015	MathiesonNature2015	"Pinhasi, Ron"	Direct: IntCal20	8101	45	"6224-6074 calBCE (7285±30 BP, PSUAMS-2103)"	..	Turkey_N	"Northwest Anatolia, Marmara, Barcın"	Turkey	40.3037	29.57	0	1240K pulldown padded to 3.2M snpset	1240K	1	6.948	6.948	..	960649	..	M	n/a (no relatives detected)	10.500503	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	J-Z6050	J2a1	..	..	..	762	N1b1a	"[0.977,0.987]"	0.211	0.524	..	..	..	..	-0.005	0.002	None	"[0,0]"	ds.half	S0708.E1.L1	0.569	6.948	0.211	762	N1b1a	"[0.977,0.987]"	..	..	PASS	Xcontam=0.008
I0709	AN	I0709	BAR20/ M13-170	petrous	1	2015	MathiesonNature2015	"Pinhasi, Ron"	Direct: IntCal20	8085	54	"6223-6034 calBCE (7255±30 BP, PSUAMS-2952)"	..	Turkey_N	"Northwest Anatolia, Marmara, Barcın"	Turkey	40.3037	29.57	0	1240K pulldown padded to 3.2M snpset	1240K	1	9.765	9.765	..	967754	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	H	H	..	..	..	1100	U3	"[0.993,0.998]"	0.15	0.529	..	..	..	..	-0.005	0.003	None	"[0,0.001]"	ds.half	S0709.E1.L1	0.2854	9.765	0.15	1100	U3	"[0.993,0.998]"	..	..	PASS	Xcontam=0.008
I0726	AN	I0726	"M15, M15.2, M15.2 / UF"	tooth (incisor)	1	2015	MathiesonNature2015	"Pinhasi, Ron"	Context: Archaeological - Period	7950	231	6400-5600 BCE	..	Turkey_N	Menteşe	Turkey	40.26	29.65	0	1240K pulldown padded to 3.2M snpset	1240K	3	0.221	0.221	..	228316	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	62.984006	H	"[0.984,0.998]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.034	0.018	None	"[0,0.069]"	"ds.half,ds.half,ds.half"	"S0726.E1.L1,S0743.E1.L1,S1107.E1.L1"	"0.01380,0.02080,0.01910"	"0.022,0.040,0.025"	"0.139,0.127,0.163"	"61.70,123.00,131.00"	"H,H,H"	"[0.995,1.000],[0.993,1.000],[0.997,1.000]"	..	..	REPLOT_PASS	..
I0736	AN	I0736	L11-216	petrous	1	2015	MathiesonNature2015	"Pinhasi, Ron"	Context: Archaeological - Period	8300	87	6500-6200 BCE	..	Turkey_N	"Northwest Anatolia, Marmara, Barcın"	Turkey	40.3037	29.57	0	1240K pulldown padded to 3.2M snpset	1240K	1	2.248	2.248	..	798920	..	F	"Turkey, Northwest Anatolia, Marmara, Barcın Family A (2 members) (I0854-I0736 are 1st degree relatives)"	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	770	N1a1a+152	"[0.993,0.998]"	0.174	0.008	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.004	0.005	None	"[0,0.006]"	ds.half	S0736.E1.L1	0.0386	2.248	0.174	770	N1a1a+152	"[0.993,0.998]"	..	..	PASS	..
I0744	AN	I0744	M10-275	petrous	1	2015	MathiesonNature2015	"Pinhasi, Ron"	Direct: IntCal20	8270	48	"6400-6239 calBCE (7455±30 BP, PSUAMS-2299)"	..	Turkey_N	"Northwest Anatolia, Marmara, Barcın"	Turkey	40.3037	29.57	0	1240K pulldown padded to 3.2M snpset	1240K	1	2.39	2.39	..	868288	..	M	"Turkey, Northwest Anatolia, Marmara, Barcın Family B (2 members) (I1097-I0744 are 2nd or 3rd degree relatives)"	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-P303	G2a2b2a	..	..	..	564	J1c11	"[0.990,0.998]"	0.219	0.538	..	..	..	..	-0.007	0.006	None	"[0,0.005]"	ds.half	S0744.E1.L1	0.1944	2.39	0.219	564	J1c11	"[0.990,0.998]"	..	..	PASS	Xcontam=0.01
I0745	AN	I0745	M11-363	petrous	1	2015	MathiesonNature2015	"Pinhasi, Ron"	Direct: IntCal20	8243	58	"6387-6111 calBCE (7405±30 BP, PSUAMS-2105)"	..	Turkey_N	"Northwest Anatolia, Marmara, Barcın"	Turkey	40.3037	29.57	0	1240K pulldown padded to 3.2M snpset	1240K	1	7.785	7.785	..	976532	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	H	H	..	..	..	644	U8b1b1	"[0.990,0.997]"	0.217	0.542	..	..	..	..	-0.003	0.002	None	"[0,0.001]"	ds.half	S0745.E1.L1	0.4063	7.785	0.217	644	U8b1b1	"[0.990,0.997]"	..	..	PASS	Xcontam=0.008
